0,1,2,3,4,5,6,7,8,9,10,Timestamp
-5.03515625,43690,43690,43690,43690,43690,43690,43690,43690,43690,0,00:00:00
-5.015625,43690,43690,43690,43690,43690,43690,43690,43690,43690,0,00:00:00.051127
-4.59765625,43690,43690,43690,43690,43690,43690,43690,43690,43690,0,00:00:00.102254
-4.578125,43690,43690,43690,43690,43690,43690,43690,43690,43690,0,00:00:00.153381
-4.53515625,43690,43690,43690,43690,43690,43690,43690,43690,43690,0,00:00:00.204508
-4.515625,43690,43690,43690,43690,43690,43690,43690,43690,43690,0,00:00:00.255635
-4.47265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.306762
-4.453125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.357889
-4.41015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.409016
-4.390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.460143
-4.34765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.511270
-4.328125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.562397
-4.28515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.613524
-4.265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.664651
-4.22265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.715778
-4.203125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.766905
-4.16015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.818032
-4.140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.869159
-4.09765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.920286
-4.078125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:00.971413
-4.03515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.022540
-4.015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.073667
-3.59765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.124794
-3.578125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.175921
-3.53515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.227048
-3.515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.278175
-3.47265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.329302
-3.453125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.380429
-3.41015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.431556
-3.390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.482683
-3.34765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.533810
-3.328125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.584937
-3.28515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.636064
-3.265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.687191
-3.22265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.738318
-3.203125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.789445
-3.16015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.840572
-3.140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.891699
-3.09765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.942826
-3.078125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:01.993953
-3.03515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.045080
-3.015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.096207
-2.59765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.147334
-2.578125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.198461
-2.53515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.249588
-2.515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.300715
-2.47265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.351842
-2.453125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.402969
-2.41015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.454096
-2.390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.505223
-2.34765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.556350
-2.328125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.607477
-2.28515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.658604
-2.265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.709731
-2.22265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.760858
-2.203125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.811985
-2.16015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.863112
-2.140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.914239
-2.09765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:02.965366
-2.078125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.016493
-2.03515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.067620
-2.015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.118747
-1.59765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.169874
-1.578125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.221001
-1.53515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.272128
-1.515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.323255
-1.47265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.374382
-1.453125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.425509
-1.41015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.476636
-1.390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.527763
-1.34765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.578890
-1.328125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.630017
-1.28515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.681144
-1.265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.732271
-1.22265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.783398
-1.203125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.834525
-1.16015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.885652
-1.140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.936779
-1.09765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:03.987906
-1.078125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.039033
-1.03515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.090160
-1.015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.141287
-0.59765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.192414
-0.578125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.243541
-0.53515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.294668
-0.515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.345795
-0.47265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.396922
-0.453125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.448049
-0.41015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.499176
-0.390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.550303
-0.34765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.601430
-0.328125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.652557
-0.28515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.703684
-0.265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.754811
-0.22265625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.805938
-0.203125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.857065
-0.16015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.908192
-0.140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:04.959319
-0.09765625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.010446
-0.078125,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.061573
-0.03515625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.112700
-0.015625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.163827
0.00390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.214954
0.0234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.266081
0.06640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.317208
0.0859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.368335
0.12890625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.419462
0.1484375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.470589
0.19140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.521716
0.2109375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.572843
0.25390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.623970
0.2734375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.675097
0.31640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.726224
0.3359375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.777351
0.37890625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.828478
0.3984375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.879605
0.44140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.930732
0.4609375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:05.981859
0.50390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.032986
0.5234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.084113
0.56640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.135240
0.5859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.186367
1.00390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.237494
1.0234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.288621
1.06640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.339748
1.0859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.390875
1.12890625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.442002
1.1484375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.493129
1.19140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.544256
1.2109375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.595383
1.25390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.646510
1.2734375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.697637
1.31640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.748764
1.3359375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.799891
1.37890625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.851018
1.3984375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.902145
1.44140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:06.953272
1.4609375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.004399
1.50390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.055526
1.5234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.106653
1.56640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.157780
1.5859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.208907
2.00390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.260034
2.0234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.311161
2.06640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.362288
2.0859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.413415
2.12890625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.464542
2.1484375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.515669
2.19140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.566796
2.2109375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.617923
2.25390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.669050
2.2734375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.720177
2.31640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.771304
2.3359375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.822431
2.37890625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.873558
2.3984375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.924685
2.44140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:07.975812
2.4609375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.026939
2.50390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.078066
2.5234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.129193
2.56640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.180320
2.5859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.231447
3.00390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.282574
3.0234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.333701
3.06640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.384828
3.0859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.435955
3.12890625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.487082
3.1484375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.538209
3.19140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.589336
3.2109375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.640463
3.25390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.691590
3.2734375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.742717
3.31640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.793844
3.3359375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.844971
3.37890625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.896098
3.3984375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.947225
3.44140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:08.998352
3.4609375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.049479
3.50390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.100606
3.5234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.151733
3.56640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.202860
3.5859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.253987
4.00390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.305114
4.0234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.356241
4.06640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.407368
4.0859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.458495
4.12890625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.509622
4.1484375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.560749
4.19140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.611876
4.2109375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.663003
4.25390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.714130
4.2734375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.765257
4.31640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.816384
4.3359375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.867511
4.37890625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.918638
4.3984375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:09.969765
4.44140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.020892
4.4609375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.072019
4.50390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.123146
4.5234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.174273
4.56640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.225400
4.5859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.276527
5.00390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.327654
5.0234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.378781
5.06640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.429908
5.0859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.481035
5.12890625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.532162
5.1484375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.583289
5.19140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.634416
5.2109375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.685543
5.25390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.736670
5.2734375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.787797
5.31640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.838924
5.3359375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.890051
5.37890625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.941178
5.3984375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:10.992305
5.44140625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:11.043432
5.4609375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:11.094559
5.50390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:11.145686
5.5234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:11.196813
5.56640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:11.247940
5.5859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:11.299067
6.00390625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:11.350194
6.0234375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:11.401321
6.06640625,0,55636,16,55636,0,0,55636,55636,0,0,00:00:11.452448
6.0859375,0,55636,16,55636,0,0,55636,55636,0,0,00:00:11.503575
